WI-FT-riabn20-oldstats,1,0,0.9486231948314586,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.008277574013557373,0.7483602645916114,0.2290166584835652,0.21168327570504433,0.0066407699953592225
WI-FT-riabn20-oldstats,5,0,0.952744443991605,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2521204085854733,0.6771206238326114,0.38661129444185793,0.6077309448119137,0.09314598321665289
WI-FT-riabn20-oldstats,10,0,0.9461273487227075,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.34289024191788586,0.6737610428784307,0.3280676209282525,0.5973205737983032,0.17485803336354144
WPI,1,0,0.9486003011013104,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0013348877093047548,0.6717608746792775,0.039123231468086786,0.5774513578394112,0.03173332107818707
WPI,1,1,0.9336853236463264,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.07404330925030092,0.5371002777811991,0.022711588853978382,0.5055100931289063,0.018777563740269565
WPI-FT,1,0,0.9509170627488183,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.026008250155808557,0.6542748762094611,0.10241103673420254,0.4280590052568682,0.003967653899603917
WPI-FT,1,1,0.9488562171166822,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.14406382581854607,0.4427009823813582,0.16387865648964045,0.5846303124313901,0.012987108184629845
WPI,5,0,0.9075595043522583,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.03332994485245173,0.6859322455542392,0.30470800657673786,0.5793265137125638,0.03674382137946482
WPI,5,1,0.9154942827986897,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.10322628278317461,0.6880746837698984,0.339963542622613,0.5262580817600307,0.032377902005806494
WPI-FT,5,1,0.9603759132817464,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3500731290991274,0.6969033705219005,0.4599690681705093,0.6788208947982457,0.284503455816986
WPI-FT,5,0,0.9549165173966467,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2570785192301457,0.6695019488603333,0.3847250300520728,0.6203415575453546,0.06938966727533424
WPI,10,1,0.8853966086138011,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.049559573312855806,0.7121385855910531,0.14777508870371217,0.516784223205258,0.043750446354707186
WPI,10,0,0.8968640491460906,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.11088363280180728,0.711927800012998,0.28697703175630046,0.5456554480039947,0.030949439068291854
WPI-FT,10,1,0.9477015226223926,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.34191674542312583,0.6942820230555373,0.3646715896012723,0.6339897324584882,0.4096841556764645
WPI-FT,10,0,0.948843454865592,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3127934368606612,0.66480482051114,0.31694906538136647,0.5871508695128385,0.14681903092240506
1603977387,WI_seed1,1,0,0.9175869110117306,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0028087707829947974,0.7352821262251171,0.37631740695669424,0.4662188868990579,0.03149190582165147
1603977536,WI_seed1,5,0,0.8430304592186696,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.1002946532737793,0.5622530044395255,0.3111120120493728,0.4345938072288197,0.04937296712020146
1603977692,WI_seed1,10,0,0.8228681335018616,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.07376420562784727,0.49942608757270635,0.3334448948649946,0.49076385284218915,0.04173313891512527
1603978199,WPI,1,1,0.939792553744432,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.08589327673425777,0.5341614471211588,0.026811846192818064,0.5075501266056812,0.01891400831143527
1603978793,WI-FT_seed1,1,0,0.9508102994771671,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0041142405881870415,0.6622873192694391,0.13773705952302726,0.342415897416101,0.0027651331910015665
1603979023,WPI-FT,1,1,0.9480576459616088,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.15202760589870204,0.42303417882874417,0.17357735119346115,0.5806642438788713,0.004953055033330968
1603979162,WPI,5,1,0.9207412277454625,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.11189934869569232,0.6880261872506473,0.28716453929094915,0.5314201122535032,0.033678962394116295
1603979491,WPI,1,0,0.9476429994780803,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.001376549364941404,0.6729181660593166,0.08445684576231244,0.5768907957776246,0.03272863290991219
1603980300,WPI-FT,1,0,0.9506773200867559,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.027393556211653937,0.6639694889038961,0.10614092851571282,0.42670582700096366,0.003852641732097577
1603980428,WPI,5,0,0.9185213335340218,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.037477932238283815,0.7017414598907696,0.31985948310472656,0.5798734695185397,0.04213881994370374
1603980558,WI-FT_seed1,5,0,0.9559002280833556,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.22505163246459878,0.6851158401845833,0.3982783752830232,0.6181866710136087,0.07431817499920862
1603981443,WPI-FT,5,0,0.9558745240113117,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.26662641630207445,0.6848994139001221,0.3841712525838687,0.6202025251331117,0.10028152665786672
1603981568,WI-FT_seed1,10,0,0.9481108876785804,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.33342525863720246,0.6457827481897384,0.3359720468216471,0.5948273568649568,0.14782282500150598
1603981584,WPI,10,0,0.9162216076546958,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.11598518450067867,0.719006922436182,0.33583615086964635,0.5677328750922875,0.032597094563103196
1603982578,WPI-FT,10,0,0.9491995125005956,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3153692107338093,0.6753944926196279,0.31545545309719364,0.5915063812964226,0.17808390834517093
1603987070,WI-FT-riabn20-oldstats,1,0,0.9486345687461923,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.007986801172821552,0.74819656817035,0.22920759827690873,0.21200753527090327,0.006596450451869777
1603988350,WI-FT-riabn20-oldstats,5,0,0.9527693581722637,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2515144201083043,0.6769260905749608,0.38681981907429924,0.6078772406642625,0.09341501434838158
1603989539,WI-FT-riabn20-oldstats,10,0,0.9461500004880554,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3428781846977174,0.6744761285368455,0.3277143822887723,0.5968114205685598,0.17359741033967652
1603990511,WI-FT-riabn20-oldstats,1,1,0.9519557666910742,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.11217703653217821,0.47959357698703536,0.24266716065747523,0.6222359495387191,0.0334914969010494
1603991792,WI-FT-riabn20-oldstats,5,1,0.9565434904459642,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.36617411339843886,0.69835877953573,0.4253275246579173,0.6536604386213836,0.3389478107310931
1603992979,WI-FT-riabn20-oldstats,10,1,0.9477190541601592,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.35734795530556396,0.6882985902084097,0.37412714494329463,0.6265394180653071,0.44738439771494715
1603993946,WI-FT-riabn20-oldstats,1,2,0.9456370532842413,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0,0.6402854411704463,0.07528302091716148,0.30045047428751964,0.02429700658093023
1603995221,WI-FT-riabn20-oldstats,5,2,0.9518755400124953,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3442979809245829,0.6762957106010492,0.39621345531330754,0.6579308340982184,0.3824285663165701
1603996405,WI-FT-riabn20-oldstats,10,2,0.9540195996690383,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.34690663206846606,0.7224877434058015,0.4306301026998529,0.6357662369168745,0.39729675013080157
1603997374,WI-FT-riabn20-oldstats,1,3,0.9480507810281471,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0,0.6008757861701203,0.21383599316185584,0.47900506956763633,0.03630652870619703
1603998664,WI-FT-riabn20-oldstats,5,3,0.952232264565594,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0,0.7008374037993165,0.3426411125445532,0.6158681186320996,0.5286043134537232
1603999857,WI-FT-riabn20-oldstats,10,3,0.9560857165397756,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.14695999363446274,0.707408108043779,0.4187383808854131,0.6187719488049923,0.523883733214176
1604000824,WI-FT-riabn20-oldstats,1,4,0.9487528338376628,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.12604087022479515,0.7104565116874305,0.25490643038156213,0.3429626820938155,0.06105787489964339
1604002108,WI-FT-riabn20-oldstats,5,4,0.9577811291855338,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.33106088101566983,0.7127270070149164,0.43405339424039135,0.6093073115977473,0.3493885099433863
1604003296,WI-FT-riabn20-oldstats,10,4,0.9558305162751023,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3697766173427284,0.7185729451974797,0.41729018891518227,0.6198404226643907,0.47429188205251527
1604010747,WI+mix,1,0,0.9488253080304595,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.2430010141729504e-05,0.6931984195922961,0.16761662141061123,0.14975775765585692,0.016986133717206014
1604010891,WPI+mix,1,0,0.9488253080304595,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.2430010141729504e-05,0.6931984195922961,0.16761662141061123,0.14975775765585692,0.016986133717206014
1604011042,WI+mix,5,0,0.9500766009827893,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0006120167600905463,0.6791150595223628,0.2774248003301639,0.2947005469290267,0.0003985039276988132
1604011353,WI+mix,1,0,0.9376322212566246,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0009184610017719677,0.7407140167724888,0.18201778449906977,0.43794064763279134,0.022677074237925466
1604011500,WPI+mix,1,0,0.9461001092366957,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0006194978574209502,0.7081459326682009,0.05670224659336502,0.4587934093570293,0.02201219654566518
1604011653,WI+mix,5,0,0.9149560140364611,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.10241981924877445,0.6549696605403252,0.3624628748230145,0.5368446030892958,0.023463852898779586
1604011805,WPI+mix,5,0,0.9369696466360465,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.04466571854451306,0.7107103607415689,0.21566252145192424,0.5430015890287176,0.023665797429382848
1604011963,WI+mix,10,0,0.907646043480745,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0651361933105165,0.6488352442240409,0.37623302535952086,0.583422267643485,0.020575907978617334
1604012121,WPI+mix,10,0,0.9351865448909125,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.09598456212476351,0.7253940652427897,0.20922472416458973,0.5292958064689567,0.01839501338195339
1604013234,WI+mix-FT,1,0,0.9504831504373376,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0047702400671208525,0.7026633934562968,0.1310993981545053,0.3098255276176564,0.004086490795256582
1604014704,WI+mix-FT_supp,1,0,0.9484477758116853,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.01093730505669172,0.7448392582341083,0.2731227497495907,0.3863946505567865,0.026678879901373364
1604015668,WI+mix-FT_randbn,1,0,0.9498983927088871,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.006720075550975452,0.7729518047791587,0.20193344516828518,0.25295693058679874,0.0176499440939987
1604016771,WI+mix-FT,5,0,0.9543502611009256,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2483489856401583,0.6693092283333153,0.39369132138925905,0.6068460225283588,0.053981139146432426
1604018513,WI+mix-FT_supp,5,0,0.9492280316776462,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2631753113922505,0.6662391018256842,0.3725352809718132,0.5810307976434576,0.09783627283641301
1604019785,WI+mix-FT_randbn,5,0,0.9525042427022181,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2648867557421179,0.6769118551403431,0.3850704041007047,0.5999686121764285,0.07166423275756269
1604020805,WI+mix-FT,10,0,0.9486133657502984,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.31698072603134436,0.6602706649121765,0.3446418041707222,0.5901576087661347,0.12570459981246102
1604022454,WI+mix-FT_supp,10,0,0.9438016274486959,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.31653137299070055,0.6626484240522348,0.33311955965232737,0.5898613193580629,0.16067434877668166
1604023654,WI+mix-FT_randbn,10,0,0.9461672366035159,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.34206702388504884,0.6862945012043452,0.3297013460658073,0.5922053609040897,0.15090142798892825
1604024531,WI+mix-FT,1,1,0.9481980693853765,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.14660835304009354,0.36588052734262294,0.19144946467329657,0.5688734428042374,0.019683425971080797
1604026006,WI+mix-FT_supp,1,1,0.942083031626267,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.19062482870342343,0.4402414717515372,0.1677669203046242,0.5863977923895819,0.035953540648001076
1604026979,WI+mix-FT_randbn,1,1,0.9492469637842925,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.18740655121589042,0.4225282854183184,0.2113299774403847,0.6065185690319865,0.029940515433902515
1604028088,WI+mix-FT,5,1,0.9588813609342975,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3725660745717541,0.6740251780391872,0.4511644265433724,0.6641252214980488,0.24804078222542492
1604029840,WI+mix-FT_supp,5,1,0.9543149919662849,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.34729700504634525,0.6335758992062025,0.4471960466222768,0.6545249664767427,0.24692252490714317
1604031136,WI+mix-FT_randbn,5,1,0.9573868202322221,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3662142618016757,0.6801129970551065,0.44736348766260575,0.6595995489836325,0.2759430949672571
1604032156,WI+mix-FT,10,1,0.9480904656951955,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.35052652193748957,0.698751785674032,0.3840843898194178,0.6276975743546274,0.39287011837887015
1604033793,WI+mix-FT_supp,10,1,0.9409699070811477,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.34520877674897366,0.6916683919314917,0.3556712512836232,0.6283757266095229,0.3585505560145575
1604034986,WI+mix-FT_randbn,10,1,0.948928407870447,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3561045722160332,0.6860691436463048,0.3872776081343917,0.6220889561590097,0.4254557085006821
1604035867,WI+mix-FT,1,2,0.9473536789879539,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0003440839286736352,0.6484245332692639,0.18384722796634756,0.37468058552571104,0.031546248370239505
1604037394,WI+mix-FT_supp,1,2,0.9203616262706227,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00927350694428517,0.6751028250355628,0.3057431244309077,0.32869710960452664,0.11478243528559237
1604038432,WI+mix-FT_randbn,1,2,0.9447131819125839,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.8778297385176562e-05,0.6481307092144323,0.19329989441669854,0.2719148587207053,0.038370820592870954
1604039611,WI+mix-FT,5,2,0.9507663642720009,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2782909455078711,0.6732667420645511,0.3937300437054727,0.6439042437667055,0.3270077481340047
1604041440,WI+mix-FT_supp,5,2,0.9447499579157425,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3015269334221457,0.6711441287451622,0.3718840330614134,0.6381155023730736,0.3445826977297434
1604042827,WI+mix-FT_randbn,5,2,0.9507426128933868,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3189827971714314,0.6923102564537178,0.3895134911942368,0.6584208759727966,0.37680712787897974
1604043909,WI+mix-FT,10,2,0.9567503993767812,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3350031445679172,0.7117670158437259,0.45535008899286483,0.6247912061071482,0.30937451531206667
1604045625,WI+mix-FT_supp,10,2,0.9448289116419841,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3476893902293706,0.7018082825361699,0.36096257172660917,0.6316323856026086,0.36000320828104254
1604046857,WI+mix-FT_randbn,10,2,0.9537132874838484,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3566815695464824,0.7318515782108962,0.4262988712577633,0.6319296196070915,0.35101378294948987
1604047737,WI+mix-FT,1,3,0.939759977609265,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8.056952225587053e-05,0.6548489011744921,0.25679849046337366,0.47502889047621555,0.033345603688846995
1604049216,WI+mix-FT_supp,1,3,0.9244725644607743,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.01867777024975025,0.5863250994158974,0.28940095760777096,0.539130440196974,0.03495907251241652
1604050191,WI+mix-FT_randbn,1,3,0.9388928587033334,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8.044789789075713e-05,0.6104195973908237,0.23546148907906,0.46917293407307015,0.02299306331587289
1604051304,WI+mix-FT,5,3,0.9554695992409976,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0015097467257082265,0.6911511833380936,0.379425865850202,0.6252980744277552,0.4026466314374344
1604053051,WI+mix-FT_supp,5,3,0.9471377462120767,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.006786655952345467,0.6868604026562151,0.3480462833253469,0.5955800334633501,0.3907417532347658
1604054342,WI+mix-FT_randbn,5,3,0.9510756783992456,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0,0.6994854145610419,0.3372617858654255,0.6168050900715358,0.49273872961097304
1604055366,WI+mix-FT,10,3,0.9592423355047232,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.12225705755621777,0.723977665461896,0.4521582704030672,0.6222446548347372,0.47969456388684584
1604056794,WPI,1,0,0.9476429994780803,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.001376549364941404,0.6729181660593166,0.08445684576231244,0.5768907957776246,0.03272863290991219
1604057010,WM,1,0,0.950335102787114,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.8088608166058073e-05,0.7090007787764241,0.3181504068673237,0.2276798298377622,0.00012323921964919215
1604057015,WI+mix-FT_supp,10,3,0.9507895775223734,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.16000887575060632,0.6908746346062493,0.3883287094256747,0.6280849703157716,0.46568593706958183
1604057224,WI+mix,1,0,0.9376322212566246,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0009184610017719677,0.7407140167724888,0.18201778449906977,0.43794064763279134,0.022677074237925466
1604058222,WI+mix-FT_randbn,10,3,0.9573673253376512,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.17203274962679388,0.7145835358146587,0.4293789500913073,0.6223622184871189,0.5111601472793432
